Employee Number,Age,Gender,Education Level,Educational Field,Position
1,41,Female,2,Life Sciences,Sales Executive
2,49,Male,1,Life Sciences,Research Scientist
4,37,Male,2,Other,Laboratory Technician
5,33,Female,4,Life Sciences,Research Scientist
8,32,Male,2,Life Sciences,Laboratory Technician
10,59,Female,3,Medical,Laboratory Technician
12,38,Male,3,Life Sciences,Manufacturing Director
13,36,Male,3,Medical,Healthcare Representative
14,35,Male,3,Medical,Laboratory Technician
16,31,Male,1,Life Sciences,Research Scientist
18,34,Male,2,Medical,Laboratory Technician
21,32,Male,2,Life Sciences,Research Scientist
23,53,Female,4,Life Sciences,Manager
24,38,Male,3,Life Sciences,Research Scientist
27,36,Male,4,Life Sciences,Sales Representative
28,34,Female,4,Life Sciences,Research Director
31,34,Male,1,Medical,Research Scientist
32,53,Female,3,Other,Manager
33,32,Female,1,Life Sciences,Research Scientist
35,42,Male,4,Marketing,Sales Executive
36,44,Female,4,Medical,Healthcare Representative
38,46,Female,4,Marketing,Manager
39,33,Male,3,Medical,Laboratory Technician
40,44,Male,4,Other,Healthcare Representative
42,39,Male,3,Technical Degree,Sales Representative
46,43,Female,2,Medical,Research Scientist
47,50,Male,2,Marketing,Sales Representative
49,35,Female,3,Marketing,Sales Representative
51,36,Female,4,Life Sciences,Research Scientist
52,33,Female,3,Life Sciences,Sales Executive
53,35,Male,2,Other,Laboratory Technician
58,41,Female,3,Technical Degree,Research Director
60,34,Male,4,Marketing,Sales Executive
61,37,Male,2,Life Sciences,Research Scientist
62,46,Male,4,Marketing,Sales Executive
63,35,Male,1,Life Sciences,Laboratory Technician
64,48,Male,2,Life Sciences,Laboratory Technician
68,44,Female,5,Marketing,Sales Executive
70,35,Male,2,Medical,Healthcare Representative
73,33,Female,2,Life Sciences,Research Director
74,35,Male,5,Life Sciences,Sales Executive
75,35,Female,4,Medical,Laboratory Technician
76,31,Male,4,Life Sciences,Laboratory Technician
77,37,Male,4,Life Sciences,Manufacturing Director
78,32,Male,3,Medical,Manufacturing Director
79,38,Female,5,Life Sciences,Laboratory Technician
80,50,Female,2,Medical,Research Director
81,59,Female,3,Life Sciences,Sales Executive
83,36,Female,3,Technical Degree,Healthcare Representative
84,55,Female,3,Medical,Manager
85,36,Male,3,Life Sciences,Manufacturing Director
86,45,Male,3,Life Sciences,Research Scientist
88,35,Male,3,Medical,Research Scientist
90,36,Male,3,Medical,Research Scientist
91,59,Female,1,Life Sciences,Sales Executive
95,31,Male,4,Medical,Research Scientist
96,32,Male,3,Life Sciences,Research Scientist
97,36,Female,3,Life Sciences,Laboratory Technician
98,31,Female,4,Life Sciences,Manufacturing Director
100,35,Male,4,Marketing,Sales Executive
101,45,Male,4,Other,Research Director
102,37,Male,4,Medical,Research Director
103,46,Male,2,Medical,Human Resources
105,35,Male,3,Medical,Research Scientist
106,55,Male,2,Life Sciences,Sales Executive
107,38,Female,3,Medical,Research Scientist
110,34,Male,2,Medical,Manufacturing Director
112,56,Male,3,Life Sciences,Manufacturing Director
116,51,Male,4,Life Sciences,Laboratory Technician
118,46,Male,2,Medical,Sales Executive
119,40,Male,4,Life Sciences,Healthcare Representative
120,51,Male,4,Marketing,Sales Executive
124,46,Male,3,Medical,Healthcare Representative
125,32,Male,4,Medical,Sales Executive
126,54,Female,4,Technical Degree,Research Director
131,58,Male,4,Medical,Sales Executive
132,44,Male,3,Medical,Laboratory Technician
133,37,Male,4,Human Resources,Human Resources
134,32,Male,1,Life Sciences,Research Scientist
138,34,Female,4,Other,Research Scientist
139,37,Male,2,Life Sciences,Healthcare Representative
140,59,Female,4,Human Resources,Manager
141,50,Female,3,Life Sciences,Research Director
145,51,Female,4,Medical,Healthcare Representative
147,34,Male,3,Life Sciences,Laboratory Technician
148,54,Female,3,Human Resources,Manager
151,34,Female,4,Life Sciences,Research Scientist
152,37,Male,3,Life Sciences,Sales Executive
153,34,Female,3,Medical,Manager
154,36,Female,2,Technical Degree,Sales Executive
